"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0580","0123.01","December 31, 2006","HALIFAX","205",4,14,0.285714285714286,0,"2050123.01"
"2006","0580","0123.02","December 31, 2006","HALIFAX","205",0,1,0,0,"2050123.02"
"2006","0580","0123.04","December 31, 2006","HALIFAX","205",27,6,4.5,0,"2050123.04"
"2006","0580","0123.05","December 31, 2006","HALIFAX","205",6,7,0.857142857142857,0,"2050123.05"
"2006","0580","0130.01","December 31, 2006","HALIFAX","205",3,6,0.5,0,"2050130.01"
"2006","0580","0130.02","December 31, 2006","HALIFAX","205",1,2,0.5,0,"2050130.02"
"2006","0580","0131.03","December 31, 2006","HALIFAX","205",0,1,0,0,"2050131.03"
"2006","0580","0132.02","December 31, 2006","HALIFAX","205",18,22,0.818181818181818,0,"2050132.02"
"2006","0580","0132.03","December 31, 2006","HALIFAX","205",1,8,0.125,0,"2050132.03"
"2006","0580","0140.00","December 31, 2006","HALIFAX","205",1,7,0.142857142857143,0,"2050140.00"
"2006","0580","0141.00","December 31, 2006","HALIFAX","205",0,1,0,0,"2050141.00"
"2006","0580","0142.00","December 31, 2006","HALIFAX","205",5,12,0.416666666666667,0,"2050142.00"
"2006","0580","0143.01","December 31, 2006","HALIFAX","205",2,3,0.666666666666667,0,"2050143.01"
"2006","0580","0143.02","December 31, 2006","HALIFAX","205",2,2,1,0,"2050143.02"
"2006","0580","0150.01","December 31, 2006","HALIFAX","205",0,15,0,0,"2050150.01"
"2006","0580","0150.02","December 31, 2006","HALIFAX","205",0,14,0,0,"2050150.02"
"2006","0580","0151.00","December 31, 2006","HALIFAX","205",0,3,0,0,"2050151.00"
"2006","0580","0152.00","December 31, 2006","HALIFAX","205",0,4,0,0,"2050152.00"
"2006","0580","0153.00","December 31, 2006","HALIFAX","205",0,5,0,0,"2050153.00"
"2006","0610","0000.00","December 31, 2006","HAMILTON","537",1,1,1,0,"5370000.00"
"2006","0610","0001.03","December 31, 2006","HAMILTON","537",0,7,0,0,"5370001.03"
"2006","0610","0001.04","December 31, 2006","HAMILTON","537",1,1,1,0,"5370001.04"
"2006","0610","0001.05","December 31, 2006","HAMILTON","537",0,4,0,0,"5370001.05"
"2006","0610","0002.01","December 31, 2006","HAMILTON","537",1,12,0.0833333333333333,0,"5370002.01"
"2006","0610","0002.02","December 31, 2006","HAMILTON","537",0,2,0,0,"5370002.02"
"2006","0610","0003.04","December 31, 2006","HAMILTON","537",0,1,0,0,"5370003.04"
"2006","0610","0005.02","December 31, 2006","HAMILTON","537",0,3,0,0,"5370005.02"
"2006","0610","0014.00","December 31, 2006","HAMILTON","537",0,1,0,0,"5370014.00"
"2006","0610","0026.02","December 31, 2006","HAMILTON","537",0,3,0,0,"5370026.02"
"2006","0610","0063.00","December 31, 2006","HAMILTON","537",0,1,0,0,"5370063.00"
"2006","0610","0070.00","December 31, 2006","HAMILTON","537",0,2,0,0,"5370070.00"
"2006","0610","0080.03","December 31, 2006","HAMILTON","537",1,1,1,0,"5370080.03"
"2006","0610","0080.04","December 31, 2006","HAMILTON","537",8,5,1.6,0,"5370080.04"
"2006","0610","0080.05","December 31, 2006","HAMILTON","537",3,3,1,0,"5370080.05"
"2006","0610","0084.01","December 31, 2006","HAMILTON","537",0,1,0,0,"5370084.01"
"2006","0610","0084.03","December 31, 2006","HAMILTON","537",0,1,0,0,"5370084.03"
"2006","0610","0085.01","December 31, 2006","HAMILTON","537",1,1,1,0,"5370085.01"
"2006","0610","0085.03","December 31, 2006","HAMILTON","537",5,5,1,0,"5370085.03"
"2006","0610","0086.00","December 31, 2006","HAMILTON","537",32,36,0.888888888888889,0,"5370086.00"
"2006","0610","0100.00","December 31, 2006","HAMILTON","537",0,24,0,0,"5370100.00"
"2006","0610","0101.00","December 31, 2006","HAMILTON","537",3,3,1,0,"5370101.00"
"2006","0610","0120.00","December 31, 2006","HAMILTON","537",1,4,0.25,0,"5370120.00"
"2006","0610","0122.01","December 31, 2006","HAMILTON","537",0,3,0,0,"5370122.01"
"2006","0610","0122.02","December 31, 2006","HAMILTON","537",0,4,0,0,"5370122.02"
"2006","0610","0124.00","December 31, 2006","HAMILTON","537",0,1,0,0,"5370124.00"
"2006","0610","0130.03","December 31, 2006","HAMILTON","537",0,1,0,0,"5370130.03"
"2006","0610","0133.00","December 31, 2006","HAMILTON","537",0,2,0,0,"5370133.00"
"2006","0610","0140.01","December 31, 2006","HAMILTON","537",2,3,0.666666666666667,0,"5370140.01"
"2006","0610","0141.00","December 31, 2006","HAMILTON","537",1,2,0.5,0,"5370141.00"
"2006","0610","0142.01","December 31, 2006","HAMILTON","537",0,4,0,0,"5370142.01"
"2006","0610","0142.02","December 31, 2006","HAMILTON","537",0,2,0,0,"5370142.02"
"2006","0610","0143.00","December 31, 2006","HAMILTON","537",0,1,0,0,"5370143.00"
"2006","0610","0201.00","December 31, 2006","HAMILTON","537",20,1,20,0,"5370201.00"
"2006","0610","0213.00","December 31, 2006","HAMILTON","537",5,1,5,0,"5370213.00"
"2006","0610","0219.00","December 31, 2006","HAMILTON","537",1,1,1,0,"5370219.00"
"2006","0610","0220.00","December 31, 2006","HAMILTON","537",1,1,1,0,"5370220.00"
"2006","0610","0223.08","December 31, 2006","HAMILTON","537",12,13,0.923076923076923,0,"5370223.08"
