"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"161","1993","0580","December 31, 1993",NA,1129,537,2.1024208566108,0,4,"345205.223",32.7051830267354
"162","1993","1490","December 31, 1993","REGINA",250,142,1.76056338028169,0,4,"198659.02",12.5843769892754
"163","1993","1700","December 31, 1993","SASKATOON",192,81,2.37037037037037,0.037037037037037,4,"222880.121",8.61449640006252
"164","1993","2410","December 31, 1993","VANCOUVER",15249,3795,4.01818181818182,0.35836627140975,4,"1780597.35",85.6397994751593
"165","1994","0580","December 31, 1994",NA,1062,418,2.54066985645933,0.00956937799043062,4,"347835.397",30.5316827775294
"166","1994","1490","December 31, 1994","REGINA",186,150,1.24,0,4,"199410.542",9.32749082042012
"167","1994","1700","December 31, 1994","SASKATOON",224,109,2.05504587155963,0.073394495412844,4,"226066.799",9.90857573915575
"168","1994","2410","December 31, 1994","VANCOUVER",15340,3705,4.14035087719298,0.369770580296896,4,"1837066.61",83.5026880163044
"169","1995","0580","December 31, 1995",NA,889,416,2.13701923076923,0,4,"351381.39999999997",25.3001439461508
"170","1995","1490","December 31, 1995","REGINA",163,124,1.31451612903226,0,4,"200658.281",8.12326305137639
"171","1995","1700","December 31, 1995","SASKATOON",310,166,1.86746987951807,0.102409638554217,4,"228510.699",13.5661044037155
"172","1995","2410","December 31, 1995","VANCOUVER",10515,2605,4.03646833013436,0.373896353166987,4,"1898778.65",55.3777029249829
"173","1996","0580","December 31, 1996","HALIFAX",668,449,1.48775055679287,0,4,"355184.127",18.8071467506767
"174","1996","1490","December 31, 1996","REGINA",204,151,1.35099337748344,0.0198675496688742,4,"199991.75",10.2004207673567
"175","1996","1700","December 31, 1996","SASKATOON",574,228,2.51754385964912,0.0394736842105263,4,"229608.608",24.9990627529086
"176","1996","2410","December 31, 1996",NA,11951,2954,4.04570074475288,0.378469871360867,4,"1953821.83",61.1672969177543
"177","1997","0580","December 31, 1997",NA,882,395,2.23291139240506,0,4,"358718.75",24.5875076226152
"178","1997","1490","December 31, 1997","REGINA",337,154,2.18831168831169,0.0194805194805195,4,"199684.114",16.87665549599
"179","1997","1700","December 31, 1997","SASKATOON",635,272,2.33455882352941,0.0551470588235294,4,"231285.44400000002",27.4552513559824
"180","1997","2410","December 31, 1997","VANCOUVER",11875,2715,4.37384898710866,0.394106813996317,4,"1982404.87",59.901991665305
"181","1998","0580","December 31, 1998",NA,745,284,2.62323943661972,0.0352112676056338,4,"362651.652",20.5431299124483
"182","1998","1490","December 31, 1998","REGINA",283,156,1.81410256410256,0.0448717948717949,4,"199958.691",14.1529232155256
"183","1998","1700","December 31, 1998","SASKATOON",448,230,1.94782608695652,0,4,"232227.483",19.2914289993833
"184","1998","2410","December 31, 1998",NA,9750,1964,4.96435845213849,0.533095723014257,4,"2009927.3800000001",48.5092152931416
