"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1999","0340","March 31, 1999","EDMONTON",6655,NA,NA,4380,1.51940639269406,0,0.341760299625468,"1999-4","4",946094.383,70.3418191628773
"1999","1400","March 31, 1999","QUÉBEC",1814,NA,NA,1318,1.3763277693475,0,0.168437025796662,"1999-4","4",700541.788,25.8942440133207
"1999","1060","September 30, 1999","MONTRÉAL",12366,NA,NA,7542,1.63961813842482,0.0125961283479183,0.578181818181818,"1999-4","4",3592721.83,34.4195865561905
"1999","2440","September 30, 1999",NA,1340,NA,NA,619,2.16478190630048,0.00646203554119548,0.548123980424144,"1999-4","4",321445.882,41.6866438500525
"1999","0580","March 31, 1999","HALIFAX",2356,NA,NA,1746,1.34936998854525,0,0.633607075173721,"1999-4","4",365659.113,64.4315953367201
"1999","1265","March 31, 1999",NA,4447,NA,NA,3223,1.37977040024822,0,0.236735960285448,"1999-4","4",801690.6723,55.4702724336537
"1999","1700","June 30, 1999","SASKATOON",1273,NA,NA,802,1.58728179551122,0,0.201481481481481,"1999-4","4",232000.601,54.870547512073
"1999","0140","March 31, 1999","CALGARY",10600,NA,NA,7109,1.49106766071177,0.0060486706991138,0.296947531298354,"1999-4","4",949842.56,111.597442001335
"1999","2410","June 30, 1999","VANCOUVER",8677,NA,NA,4080,2.12671568627451,0.123039215686275,0.646323529411765,"1999-4","4",2037155.74,42.5936997826195
"1999","1490","June 30, 1999","REGINA",573,NA,NA,420,1.36428571428571,0,0.0596658711217184,"1999-4","4",199378.229,28.7393464609418
"1999","2270","June 30, 1999","TORONTO",34904,NA,NA,18937,1.84316417595184,0.0257168506099171,0.650622936854435,"1999-4","4",4742345.3,73.6007139758465
"2000","0580","March 31, 2000","HALIFAX",2661,NA,NA,1452,1.83264462809917,0.0068870523415978,0.556034482758621,"2000-4","4",368750.313,72.1626506117705
"2000","0610","March 31, 2000","HAMILTON",3108,NA,NA,2113,1.47089446284903,0.00662565073355419,0.391134924500731,"2000-4","4",687808.674,45.1869846584691
"2000","1490","December 31, 2000","REGINA",615,NA,NA,489,1.25766871165644,0.00408997955010225,0.0899795501022495,"2000-4","4",198013.721,31.058453772504
"2000","1060","March 31, 2000","MONTRÉAL",12766,NA,NA,7718,1.65405545478103,0.000388701736201088,1.56106870229008,"2000-4","4",3627104.42,35.1961193331181
"2000","1265","March 31, 2000","OTTAWA",5786,NA,NA,3974,1.45596376446905,0,0.296930045294414,"2000-4","4",819884.9878,70.5708737944525
"2000","1400","June 30, 2000","QUÉBEC",2275,NA,NA,1386,1.64141414141414,0,0.211062590975255,"2000-4","4",704721.981,32.282234148164
"2000","0340","March 31, 2000","EDMONTON",6228,NA,NA,4344,1.43370165745856,0.00276243093922652,0.307638727652658,"2000-4","4",959720.911,64.8938657959491
"2000","1700","December 31, 2000","SASKATOON",968,NA,NA,688,1.40697674418605,0,0.168576104746318,"2000-4","4",232228.601,41.6830655583203
