"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"2016","0340","EDMONTON",10.8470588235294,10.9917355371901,15.1764705882353,15.5,18.1176470588235,11.6696832579186
"2016","2270","TORONTO",11.1578947368421,11.8314350797267,17.9375,18.1428571428571,27.7777777777778,13.1266747868453
"2017","0340","EDMONTON",9.32394366197183,11.8809523809524,16.6363636363636,14.0714285714286,27,10.5839160839161
"2017","2270","TORONTO",12.878612716763,13.3595706618962,19.3255813953488,24.8181818181818,26.9622641509434,14.2855731225296
"2018","0340","EDMONTON",8.8605577689243,11.6444444444444,19.5,19.3333333333333,29.6,10.1167192429022
"2018","2270","TORONTO",11.9055118110236,12.536959553696,20,16.7,27.2631578947368,13.3106312292359
"2019","0340","EDMONTON",9.62909090909091,9.67924528301887,11.8888888888889,18.4666666666667,36.5714285714286,10.5877437325905
"2019","2270","TORONTO",12.1377551020408,12.5185995623632,17.8372093023256,22.3,28.8125,13.8899204244032
"2020","0340","EDMONTON",9.78189300411523,10.3493975903614,14.125,12.3636363636364,20.0666666666667,10.5166666666667
"2020","2270","TORONTO",12.504854368932,13.4364640883978,22.1935483870968,22,29.3559322033898,15.0898203592814
"2021","0340","EDMONTON",7.72457627118644,9.65671641791045,13.6,15.875,21,8.98802395209581
"2021","2270","TORONTO",10.7434782608696,13.8796561604585,24.452380952381,24.7692307692308,29.2567567567568,15.295197740113
"2022","0340","EDMONTON",8.84175084175084,9.11111111111111,15,12.8,16.3333333333333,9.32853717026379
"2022","2270","TORONTO",12.4965517241379,13.6063492063492,19.2142857142857,27.5,29.05,15.4223826714801
"2023","0340","EDMONTON",8.84364820846906,10.6071428571429,17,15.0909090909091,17.4,9.8429203539823
"2023","2270","TORONTO",13.6244131455399,14.6731843575419,19.1904761904762,26.8181818181818,28.5168539325843,16.5413744740533
