reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2009-03-01,1,0140,Calgary,T2K,2.0,1,2.0,0.0
2009-03-01,1,0140,Calgary,T2S,1.0,2,0.5,0.0
2009-03-01,1,0140,Calgary,T1Y,11.0,1,11.0,0.0
2009-03-01,1,0140,Calgary,T2H,2.0,1,2.0,0.0
2009-03-01,1,0140,Calgary,nan,914.0,1015,0.9,0.0
2009-06-01,2,0140,Calgary,T2S,1.0,2,0.5,0.0
2009-06-01,2,0140,Calgary,T3B,2.0,4,0.5,0.0
2009-06-01,2,0140,Calgary,T2V,2.0,2,1.0,0.0
2009-06-01,2,0140,Calgary,T3H,1.0,1,1.0,0.0
2009-06-01,2,0140,Calgary,T1Y,11.0,1,11.0,0.0
2009-06-01,2,0140,Calgary,T2G,62.0,7,8.86,0.0
2009-06-01,2,0140,Calgary,T2N,6.0,12,0.5,0.0
2009-06-01,2,0140,Calgary,T2B,3.0,3,1.0,0.0
2009-06-01,2,0140,Calgary,T2K,0.0,1,0.0,0.0
2009-06-01,2,0140,Calgary,T3E,18.0,18,1.0,0.0
2009-06-01,2,0140,Calgary,T2E,41.0,14,2.93,0.0
2009-06-01,2,0140,Calgary,T2J,1.0,2,0.5,0.0
2009-06-01,2,0140,Calgary,T2M,7.0,8,0.88,0.0
2009-06-01,2,0140,Calgary,T4C,46.0,77,0.6,0.0
2009-06-01,2,0140,Calgary,T2T,29.0,12,2.42,0.0
2009-06-01,2,0140,Calgary,T3C,26.0,3,8.67,0.0
2009-06-01,2,0140,Calgary,nan,797.0,942,0.85,0.01
2009-06-01,2,0140,Calgary,T2C,26.0,32,0.81,0.0
2009-06-01,2,0140,Calgary,T0M,0.0,1,0.0,0.0
2009-06-01,2,0140,Calgary,T3J,4.0,23,0.17,0.0
2009-06-01,2,0140,Calgary,T2L,1.0,1,1.0,0.0
2009-09-01,3,0140,Calgary,T3E,7.0,6,1.17,0.0
2009-09-01,3,0140,Calgary,T2K,1.0,1,1.0,0.0
2009-09-01,3,0140,Calgary,T4C,124.0,46,2.7,0.0
2009-09-01,3,0140,Calgary,T2T,22.0,9,2.44,0.0
2009-09-01,3,0140,Calgary,T1Y,10.0,1,10.0,0.0
2009-09-01,3,0140,Calgary,T2S,3.0,2,1.5,0.0
2009-09-01,3,0140,Calgary,T2E,22.0,9,2.44,0.0
2009-09-01,3,0140,Calgary,nan,545.0,410,1.33,0.0
2009-09-01,3,0140,Calgary,T2M,3.0,3,1.0,0.0
2009-09-01,3,0140,Calgary,T2C,6.0,5,1.2,0.0
2009-09-01,3,0140,Calgary,T3C,22.0,1,22.0,9.0
2009-09-01,3,0140,Calgary,T2L,1.0,1,1.0,0.0
2009-09-01,3,0140,Calgary,T2B,4.0,3,1.33,0.0
2009-09-01,3,0140,Calgary,T2N,7.0,5,1.4,0.0
2009-09-01,3,0140,Calgary,T3J,5.0,5,1.0,0.0
2009-09-01,3,0140,Calgary,T2G,61.0,4,15.25,1.5
2009-09-01,3,0140,Calgary,T2Y,63.0,1,63.0,0.0
2009-09-01,3,0140,Calgary,T3B,2.0,2,1.0,0.0
2009-12-01,4,0140,Calgary,T3E,8.0,5,1.6,0.0
2009-12-01,4,0140,Calgary,T2T,23.0,6,3.83,0.0
2009-12-01,4,0140,Calgary,T2V,10.0,1,10.0,0.0
2009-12-01,4,0140,Calgary,T2E,17.0,6,2.83,0.0
2009-12-01,4,0140,Calgary,T2S,3.0,2,1.5,0.0
2009-12-01,4,0140,Calgary,T3J,6.0,6,1.0,0.0
2009-12-01,4,0140,Calgary,T1Y,10.0,1,10.0,0.0
2009-12-01,4,0140,Calgary,T2C,6.0,5,1.2,0.0
2009-12-01,4,0140,Calgary,T2G,51.0,4,12.75,1.5
2009-12-01,4,0140,Calgary,T3B,3.0,2,1.5,0.0
2009-12-01,4,0140,Calgary,T2M,3.0,3,1.0,0.0
2009-12-01,4,0140,Calgary,nan,507.0,389,1.3,0.01
2009-12-01,4,0140,Calgary,T3G,19.0,1,19.0,0.0
2009-12-01,4,0140,Calgary,T2K,1.0,1,1.0,0.0
2009-12-01,4,0140,Calgary,T2N,28.0,7,4.0,0.0
2009-12-01,4,0140,Calgary,T2Y,55.0,1,55.0,0.0
2009-12-01,4,0140,Calgary,T4C,73.0,44,1.66,0.0
2009-12-01,4,0140,Calgary,T3C,22.0,1,22.0,9.0
2009-12-01,4,0140,Calgary,T2B,4.0,4,1.0,0.0
2009-12-01,4,0140,Calgary,T2A,49.0,1,49.0,4.0
2010-03-01,1,0140,Calgary,T2Y,44.0,1,44.0,0.0
2010-03-01,1,0140,Calgary,T1Y,10.0,1,10.0,0.0
2010-03-01,1,0140,Calgary,T2C,5.0,5,1.0,0.0
2010-03-01,1,0140,Calgary,T3E,9.0,5,1.8,0.0
2010-03-01,1,0140,Calgary,T2H,1.0,1,1.0,0.0
2010-03-01,1,0140,Calgary,T3J,4.0,4,1.0,0.0
2010-03-01,1,0140,Calgary,T2B,14.0,1,14.0,3.0
2010-03-01,1,0140,Calgary,T2N,25.0,4,6.25,0.0
2010-03-01,1,0140,Calgary,nan,489.0,381,1.28,0.02
2010-03-01,1,0140,Calgary,T4C,68.0,44,1.55,0.0
2010-03-01,1,0140,Calgary,T2G,125.0,7,17.86,1.71
